Title,JQI,ai_exposure,wage_median,age_ratio,physical_sustainability,autonomy,employment
"Engineers, All Other",0.5782259766805741,0.0659,48.38,0.7722772277227723,0.6642607392227393,0.6739459893696602,151940.0
"Special Education Teachers, Preschool",0.5777884492099994,0.0058,,,0.5047188240690041,0.7358102896239838,21130.0
Oral and Maxillofacial Surgeons,0.5770797430803543,0.0,,,0.4111357479830951,0.8348214519894345,5330.0
Bioengineers and Biomedical Engineers,0.5769895006765728,0.1328,46.83,1.0,0.7081197857967327,0.6306731138589978,17190.0
"Transportation, Storage, and Distribution Managers",0.5765114490377583,0.0956,47.22,1.011111111111111,0.6491890259680604,0.67922819574896,144640.0
"Environmental Scientists and Specialists, Including Health",0.5761475788178433,0.0548,36.79,0.6111111111111112,0.7399689229177171,0.694196434344391,76890.0
Radiologists,0.5754951799936747,0.199,,3.5,0.5085799987655115,0.7070375042954756,29530.0
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",0.5754225944210405,0.0636,28.71,,0.7845866419991114,0.7442877570664324,38260.0
"Nursing Instructors and Teachers, Postsecondary",0.5751287896734124,0.1909,,,0.5044195499828461,0.706128202559099,68060.0
Nuclear Engineers,0.5750539924072676,0.0,57.87,0.75,0.6866959928711629,0.5678970309621265,12670.0
Cost Estimators,0.5744825251641147,0.0,31.33,1.7307692307692308,0.8471535327750871,0.6307708330887162,208950.0
Orthotists and Prosthetists,0.5738348697906207,0.0,36.27,,0.381620834674137,0.7569120897184908,10410.0
"Special Education Teachers, Secondary School",0.5720741603629328,0.0989,,,0.6910074657044017,0.8015940700651086,145690.0
Landscape Architects,0.5715890913975913,0.0,32.67,3.0,0.774486013347451,0.6610215792685806,17430.0
Electrical Engineers,0.5714083085865208,0.059,48.28,,0.6237537165243038,0.6769500201042602,186020.0
Air Traffic Controllers,0.5711828640754099,0.0,62.38,,0.8232242906066981,0.612018152020563,21230.0
"Claims Adjusters, Examiners, and Investigators",0.5699166068400342,0.0818,31.29,,0.792548036974226,0.6849406975199875,278140.0
Materials Engineers,0.5696441426303154,0.0,47.26,0.65,0.6367302758383865,0.6691972270993427,21530.0
Editors,0.5696139964549866,0.246,30.46,1.4705882352941178,0.7795213435068153,0.6829255401340267,88780.0
Industrial Engineers,0.5693280370616716,0.0367,45.82,,0.6355394326075294,0.6677631710302435,293950.0
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",0.5685685880503665,0.0,47.62,,0.5973629825304048,0.6997026380285979,22870.0
Materials Scientists,0.5676097226365852,0.1843,48.12,,0.6750146133807562,0.617493809949117,6690.0
Athletic Trainers,0.5673785021430017,0.0531,,,0.4456725843692046,0.7319960837787972,26070.0
Cartographers and Photogrammetrists,0.567356293217093,0.08,33.12,,0.7878499164480417,0.6464236169873564,12610.0
"Middle School Teachers, Except Special and Career/Technical Education",0.5670356197912648,0.2972,,,0.7013403552843844,0.7714826050529143,592000.0
